itemid,nombre,volumen,precio,marca,categoria
132600,Juarez Margarita Mix,1000,7.89,Luxco-St Louis,AMERICAN COCKTAILS
285055,Paramount Long Island Iced Tea,1000,6.75,Luxco-St Louis,AMERICAN COCKTAILS
343848,Purple Passion 4 Pack,200,5.33,Luxco-St Louis,AMERICAN COCKTAILS
396265,Purple Passion,1750,8.25,Luxco-St Louis,AMERICAN COCKTAILS
332821,Salvador's Margarita 4pak,800,5.33,Luxco-St Louis,AMERICAN COCKTAILS
184620,Salvador's Margarita Pet,1750,8.25,Luxco-St Louis,AMERICAN COCKTAILS
265703,Salvador's Original Margarita PET,1750,9.0,Luxco-St Louis,AMERICAN COCKTAILS
67434,Salvador's Paloma,1750,9.0,Luxco-St Louis,AMERICAN COCKTAILS
461311,Salvador's Blue Margarita,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
280676,Salvadors Raspberry Margarita,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
366177,Salvador's Strawberry Margarita 200ml-4Pack,800,5.33,Luxco-St Louis,AMERICAN COCKTAILS
382884,Salvador's Strawberry Margarita,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
438412,Salvadors Lemon Citrus Margarita,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
106547,Salvador's Mojito,1750,8.79,Luxco-St Louis,AMERICAN COCKTAILS
91152,Purple Passion,1750,12.12,Luxco-St Louis,AMERICAN COCKTAILS
173253,Purple Passion,200,1.41,Luxco-St Louis,AMERICAN COCKTAILS
128182,Salvador's Original Margarita,1750,8.86,Luxco-St Louis,AMERICAN COCKTAILS
272667,Salvador's Top Shelf,1750,12.75,Luxco-St Louis,AMERICAN COCKTAILS
