itemid,nombre,volumen,precio,marca,categoria
117096,Wild Turkey American Honey,1000,20.73,Campari(skyy),STRAIGHT BOURBON WHISKIES
447848,Wild Turkey 80,750,16.13,Campari(skyy),STRAIGHT BOURBON WHISKIES
60317,Wild Turkey 81,750,17.1,Campari(skyy),STRAIGHT BOURBON WHISKIES
453618,Wild Turkey 101 Mini,500,16.38,Campari(skyy),STRAIGHT BOURBON WHISKIES
114768,Wild Turkey 8 Yr,375,7.46,Campari(skyy),STRAIGHT BOURBON WHISKIES
424245,Wild Turkey 101 Round,375,9.38,Campari(skyy),STRAIGHT BOURBON WHISKIES
140766,Wild Turkey 101,750,20.25,Campari(skyy),STRAIGHT BOURBON WHISKIES
26008,Wild Turkey 101,1000,24.24,Campari(skyy),STRAIGHT BOURBON WHISKIES
220472,Wild Turkey 101,1750,39.0,Campari(skyy),STRAIGHT BOURBON WHISKIES
264476,Russell's Reserve 10YR,750,27.74,Campari(skyy),STRAIGHT BOURBON WHISKIES
222765,Wild Turkey Str Rare Breed,750,29.25,Campari(skyy),STRAIGHT BOURBON WHISKIES
110936,Wild Turkey American Honey,750,15.75,Campari(skyy),STRAIGHT BOURBON WHISKIES
283919,Wild Turkey American Honey,1750,29.25,Campari(skyy),STRAIGHT BOURBON WHISKIES
66969,Wild Turkey 8yr Ky Str Bourbon,50,1.07,Campari(skyy),STRAIGHT BOURBON WHISKIES
320788,Wild Turkey Spiced,750,15.75,Campari(skyy),STRAIGHT BOURBON WHISKIES
460625,Wild Turkey Str Bourbon 101 Prf,1750,29.96,Campari(skyy),STRAIGHT BOURBON WHISKIES
440283,Wild Turkey Tribute 15yr (dno),750,69.75,Campari(skyy),STRAIGHT BOURBON WHISKIES
224168,Wild Turkey 101 Str Bourbon 8yr,200,5.25,Campari(skyy),STRAIGHT BOURBON WHISKIES
141913,Wild Turkey Rare Breed,750,34.13,Campari(skyy),STRAIGHT BOURBON WHISKIES
125751,Wild Turkey Forgiven HA,750,45.0,Campari(skyy),STRAIGHT BOURBON WHISKIES
396042,Wild Turkey Master's Keep Decades HA,750,112.5,Campari(skyy),STRAIGHT BOURBON WHISKIES
381759,Wild Turkey Master's Keep HA,750,112.5,Campari(skyy),STRAIGHT BOURBON WHISKIES
387697,Wild Turkey 8yr Ky Str Bourbon,50,1.06,Campari(skyy),STRAIGHT BOURBON WHISKIES
44045,Russell's Reserve 1998 HA,750,187.5,Campari(skyy),STRAIGHT BOURBON WHISKIES
15312,Russell's Reserve Single Barrel - Barrel,750,42.75,Campari(skyy),STRAIGHT BOURBON WHISKIES
13001,Wild Turkey 8 Yr Ky St Bourbon,1750,34.23,Campari(skyy),STRAIGHT BOURBON WHISKIES
