,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski,new_antecedents,new_consequents
0,frozenset({'LEMONADE SCHNAPPS'}),frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265,['LEMONADE SCHNAPPS'],['SINGLE MALT SCOTCH']
1,frozenset({'PRIVATE LABEL TEQUILA'}),frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS'}),0.0018436578171091445,0.12278761061946902,0.0014749262536873156,0.8,6.515315315315316,1.0,0.0012485479155245778,4.3860619469026565,0.8480790543036573,0.011976047904191617,0.7720050441361918,0.406006006006006,['PRIVATE LABEL TEQUILA'],['MISC. IMPORTED CORDIALS & LIQUEURS']
2,frozenset({'PRIVATE LABEL BOURBON'}),frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654,['PRIVATE LABEL BOURBON'],['SINGLE MALT SCOTCH']
3,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'AMERICAN COCKTAILS'}),0.0018436578171091445,0.11946902654867257,0.0014749262536873156,0.8,6.696296296296296,1.0,0.0012546662489884355,4.402654867256638,0.8522349464351681,0.012307692307692306,0.7728643216080403,0.4061728395061729,['BLENDED WHISKIES' 'AMERICAN DRY GINS'],['AMERICAN COCKTAILS']
4,"frozenset({'IRISH WHISKIES', 'SINGLE BARREL BOURBON WHISKIES'})",frozenset({'AMERICAN COCKTAILS'}),0.0014749262536873156,0.11946902654867257,0.0014749262536873156,1.0,8.37037037037037,1.0,0.0012987182499282115,inf,0.8818316100443131,0.012345679012345677,1.0,0.5061728395061729,['IRISH WHISKIES' 'SINGLE BARREL BOURBON WHISKIES'],['AMERICAN COCKTAILS']
5,"frozenset({'SINGLE BARREL BOURBON WHISKIES', 'AMERICAN COCKTAILS'})",frozenset({'IRISH WHISKIES'}),0.0014749262536873156,0.02654867256637168,0.0014749262536873156,1.0,37.666666666666664,1.0,0.0014357689195186258,inf,0.9748892171344165,0.05555555555555555,1.0,0.5277777777777778,['SINGLE BARREL BOURBON WHISKIES' 'AMERICAN COCKTAILS'],['IRISH WHISKIES']
6,"frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS', 'WHISKEY LIQUEUR'})",frozenset({'AMERICAN COCKTAILS'}),0.0029498525073746312,0.11946902654867257,0.0022123893805309734,0.75,6.277777777777778,1.0,0.0018599733730127652,3.52212389380531,0.8431952662721894,0.01840490797546012,0.7160804020100503,0.38425925925925924,['MISC. IMPORTED CORDIALS & LIQUEURS' 'WHISKEY LIQUEUR'],['AMERICAN COCKTAILS']
7,"frozenset({'WHISKEY LIQUEUR', 'PUERTO RICO & VIRGIN ISLANDS RUM'})",frozenset({'AMERICAN COCKTAILS'}),0.0011061946902654867,0.11946902654867257,0.0011061946902654867,1.0,8.37037037037037,1.0,0.0009740386874461586,inf,0.8815060908084164,0.009259259259259259,1.0,0.5046296296296297,['WHISKEY LIQUEUR' 'PUERTO RICO & VIRGIN ISLANDS RUM'],['AMERICAN COCKTAILS']
8,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'CANADIAN WHISKIES'}),0.0018436578171091445,0.0612094395280236,0.0014749262536873156,0.8,13.06987951807229,1.0,0.0013620769920206055,4.693952802359883,0.9251939416328039,0.02395209580838323,0.7869599371563237,0.41204819277108434,['BLENDED WHISKIES' 'AMERICAN DRY GINS'],['CANADIAN WHISKIES']
9,"frozenset({'BLENDED WHISKIES', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0018436578171091445,0.08775811209439528,0.0014749262536873156,0.8,9.115966386554621,1.0,0.0013131303243097431,4.5612094395280245,0.8919468045807166,0.016736401673640166,0.7807599029911075,0.40840336134453786,['BLENDED WHISKIES' 'AMERICAN DRY GINS'],['STRAIGHT BOURBON WHISKIES']
10,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'AMERICAN DRY GINS'}),0.0014749262536873156,0.0357669616519174,0.0011061946902654867,0.75,20.969072164948454,1.0,0.0010534410595104463,3.8569321533923304,0.9537173806006893,0.030612244897959186,0.7407265774378585,0.3904639175257732,['COFFEE LIQUEURS' 'VODKA FLAVORED'],['AMERICAN DRY GINS']
11,"frozenset({'COFFEE LIQUEURS', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031,['COFFEE LIQUEURS' 'AMERICAN DRY GINS'],['VODKA FLAVORED']
12,"frozenset({'CREAM LIQUEURS', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031,['CREAM LIQUEURS' 'AMERICAN DRY GINS'],['VODKA FLAVORED']
13,"frozenset({'IMPORTED VODKA - MISC', 'AMERICAN DRY GINS'})",frozenset({'STRAIGHT BOURBON WHISKIES'}),0.0014749262536873156,0.08775811209439528,0.0011061946902654867,0.75,8.546218487394958,1.0,0.0009767579467634287,3.6489675516224187,0.8842934515017232,0.012552301255230124,0.7259498787388844,0.38130252100840334,['IMPORTED VODKA - MISC' 'AMERICAN DRY GINS'],['STRAIGHT BOURBON WHISKIES']
14,"frozenset({'IMPORTED VODKA - MISC', 'AMERICAN DRY GINS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031,['IMPORTED VODKA - MISC' 'AMERICAN DRY GINS'],['VODKA FLAVORED']
15,"frozenset({'PRIVATE LABEL TEQUILA', 'MISC. IMPORTED CORDIALS & LIQUEURS'})",frozenset({'AMERICAN DRY GINS'}),0.0014749262536873156,0.0357669616519174,0.0011061946902654867,0.75,20.969072164948454,1.0,0.0010534410595104463,3.8569321533923304,0.9537173806006893,0.030612244897959186,0.7407265774378585,0.3904639175257732,['PRIVATE LABEL TEQUILA' 'MISC. IMPORTED CORDIALS & LIQUEURS'],['AMERICAN DRY GINS']
16,"frozenset({'PRIVATE LABEL TEQUILA', 'AMERICAN DRY GINS'})",frozenset({'MISC. IMPORTED CORDIALS & LIQUEURS'}),0.0011061946902654867,0.12278761061946902,0.0011061946902654867,1.0,8.144144144144144,1.0,0.000970367687367844,inf,0.8781838316722038,0.009009009009009009,1.0,0.5045045045045045,['PRIVATE LABEL TEQUILA' 'AMERICAN DRY GINS'],['MISC. IMPORTED CORDIALS & LIQUEURS']
17,"frozenset({'CANADIAN WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519,['CANADIAN WHISKIES' 'COFFEE LIQUEURS'],['BLENDED WHISKIES']
18,"frozenset({'COFFEE LIQUEURS', 'BLENDED WHISKIES'})",frozenset({'CANADIAN WHISKIES'}),0.0011061946902654867,0.0612094395280236,0.0011061946902654867,1.0,16.337349397590362,1.0,0.0010384851332654605,inf,0.939830195644149,0.018072289156626505,1.0,0.5090361445783133,['COFFEE LIQUEURS' 'BLENDED WHISKIES'],['CANADIAN WHISKIES']
19,"frozenset({'COFFEE LIQUEURS', 'BLENDED WHISKIES'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265,['COFFEE LIQUEURS' 'BLENDED WHISKIES'],['SINGLE MALT SCOTCH']
20,"frozenset({'COFFEE LIQUEURS', 'SINGLE MALT SCOTCH'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519,['COFFEE LIQUEURS' 'SINGLE MALT SCOTCH'],['BLENDED WHISKIES']
21,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'BLENDED WHISKIES'}),0.0014749262536873156,0.029129793510324485,0.0011061946902654867,0.75,25.746835443037973,1.0,0.0010632303930526187,3.883480825958702,0.9625800098473659,0.0375,0.7424990505127231,0.3939873417721519,['COFFEE LIQUEURS' 'VODKA FLAVORED'],['BLENDED WHISKIES']
22,"frozenset({'COFFEE LIQUEURS', 'BLENDED WHISKIES'})",frozenset({'VODKA FLAVORED'}),0.0011061946902654867,0.1544985250737463,0.0011061946902654867,1.0,6.47255369928401,1.0,0.0009352892421750594,inf,0.8464377999261721,0.007159904534606206,1.0,0.5035799522673031,['COFFEE LIQUEURS' 'BLENDED WHISKIES'],['VODKA FLAVORED']
23,"frozenset({'BLENDED WHISKIES', 'CREAM LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654,['BLENDED WHISKIES' 'CREAM LIQUEURS'],['SINGLE MALT SCOTCH']
24,"frozenset({'CANADIAN WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654,['CANADIAN WHISKIES' 'COFFEE LIQUEURS'],['SINGLE MALT SCOTCH']
25,"frozenset({'COFFEE LIQUEURS', 'SINGLE MALT SCOTCH'})",frozenset({'CANADIAN WHISKIES'}),0.0014749262536873156,0.0612094395280236,0.0011061946902654867,0.75,12.25301204819277,1.0,0.0010159152809321185,3.7551622418879056,0.9197439684884293,0.017964071856287428,0.7336999214454045,0.38403614457831325,['COFFEE LIQUEURS' 'SINGLE MALT SCOTCH'],['CANADIAN WHISKIES']
26,"frozenset({'CANADIAN WHISKIES', 'COFFEE LIQUEURS'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031,['CANADIAN WHISKIES' 'COFFEE LIQUEURS'],['VODKA FLAVORED']
27,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'CANADIAN WHISKIES'}),0.0014749262536873156,0.0612094395280236,0.0011061946902654867,0.75,12.25301204819277,1.0,0.0010159152809321185,3.7551622418879056,0.9197439684884293,0.017964071856287428,0.7336999214454045,0.38403614457831325,['COFFEE LIQUEURS' 'VODKA FLAVORED'],['CANADIAN WHISKIES']
28,"frozenset({'CANADIAN WHISKIES', 'HIGH PROOF BEER - AMERICAN'})",frozenset({'FLAVORED RUM'}),0.0011061946902654867,0.06747787610619468,0.0011061946902654867,1.0,14.819672131147541,1.0,0.0010315510220064218,inf,0.9335548172757475,0.01639344262295082,1.0,0.5081967213114754,['CANADIAN WHISKIES' 'HIGH PROOF BEER - AMERICAN'],['FLAVORED RUM']
29,"frozenset({'CANADIAN WHISKIES', 'IRISH WHISKIES'})",frozenset({'IMPORTED VODKA'}),0.0011061946902654867,0.0866519174041298,0.0011061946902654867,1.0,11.540425531914893,1.0,0.0010103407993317147,inf,0.9143595422665189,0.01276595744680851,1.0,0.5063829787234042,['CANADIAN WHISKIES' 'IRISH WHISKIES'],['IMPORTED VODKA']
30,"frozenset({'COFFEE LIQUEURS', 'IMPORTED VODKA'})",frozenset({'SINGLE MALT SCOTCH'}),0.0011061946902654867,0.1084070796460177,0.0011061946902654867,1.0,9.224489795918368,1.0,0.0009862753543738742,inf,0.8925802879291251,0.01020408163265306,1.0,0.5051020408163265,['COFFEE LIQUEURS' 'IMPORTED VODKA'],['SINGLE MALT SCOTCH']
31,"frozenset({'COFFEE LIQUEURS', 'SINGLE MALT SCOTCH'})",frozenset({'IMPORTED VODKA'}),0.0014749262536873156,0.0866519174041298,0.0011061946902654867,0.75,8.65531914893617,1.0,0.0009783895023537908,3.6533923303834808,0.8857705563761694,0.01271186440677966,0.7262817924909164,0.38138297872340426,['COFFEE LIQUEURS' 'SINGLE MALT SCOTCH'],['IMPORTED VODKA']
32,"frozenset({'COFFEE LIQUEURS', 'VODKA FLAVORED'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654,['COFFEE LIQUEURS' 'VODKA FLAVORED'],['SINGLE MALT SCOTCH']
33,"frozenset({'COFFEE LIQUEURS', 'SINGLE MALT SCOTCH'})",frozenset({'VODKA FLAVORED'}),0.0014749262536873156,0.1544985250737463,0.0011061946902654867,0.75,4.854415274463007,1.0,0.0008783207594782503,3.382005899705015,0.7951747907434762,0.0071428571428571435,0.7043174880069778,0.3785799522673031,['COFFEE LIQUEURS' 'SINGLE MALT SCOTCH'],['VODKA FLAVORED']
34,"frozenset({'IMPORTED DRY GINS', 'CREAM LIQUEURS'})",frozenset({'SINGLE MALT SCOTCH'}),0.0014749262536873156,0.1084070796460177,0.0011061946902654867,0.75,6.918367346938775,1.0,0.0009463022424100034,3.566371681415929,0.8567208271787298,0.01016949152542373,0.7196029776674938,0.38010204081632654,['IMPORTED DRY GINS' 'CREAM LIQUEURS'],['SINGLE MALT SCOTCH']
35,"frozenset({'IRISH WHISKIES', 'CREAM LIQUEURS'})",frozenset({'IMPORTED VODKA'}),0.0018436578171091445,0.0866519174041298,0.0014749262536873156,0.8,9.232340425531916,1.0,0.0013151697687976958,4.566740412979352,0.8933321019578869,0.01694915254237288,0.7810254339927332,0.4085106382978724,['IRISH WHISKIES' 'CREAM LIQUEURS'],['IMPORTED VODKA']
36,"frozenset({'IRISH WHISKIES', 'SINGLE MALT SCOTCH'})",frozenset({'CREAM LIQUEURS'}),0.0014749262536873156,0.04277286135693215,0.0011061946902654867,0.75,17.53448275862069,1.0,0.00104310787410482,3.8289085545722714,0.944362383062531,0.025641025641025644,0.7388289676425269,0.3879310344827586,['IRISH WHISKIES' 'SINGLE MALT SCOTCH'],['CREAM LIQUEURS']
37,"frozenset({'IRISH WHISKIES', 'CREAM LIQUEURS'})",frozenset({'VODKA FLAVORED'}),0.0018436578171091445,0.1544985250737463,0.0014749262536873156,0.8,5.178042959427208,1.0,0.00119008384020327,4.227507374631269,0.8083671961581086,0.009523809523809523,0.7634539904055823,0.4047732696897375,['IRISH WHISKIES' 'CREAM LIQUEURS'],['VODKA FLAVORED']
38,"frozenset({'FLAVORED RUM', 'IMPORTED GRAPE BRANDIES'})",frozenset({'DECANTERS & SPECIALTY PACKAGES'}),0.0014749262536873156,0.19358407079646017,0.0011061946902654867,0.75,3.8742857142857146,1.0,0.0008206724619521236,3.225663716814159,0.7429837518463811,0.005703422053231939,0.6899862825788752,0.37785714285714284,['FLAVORED RUM' 'IMPORTED GRAPE BRANDIES'],['DECANTERS & SPECIALTY PACKAGES']
39,"frozenset({'DECANTERS & SPECIALTY PACKAGES', 'JAMAICA RUM'})",frozenset({'FLAVORED RUM'}),0.0014749262536873156,0.06747787610619468,0.0011061946902654867,0.75,11.114754098360656,1.0,0.0010066697992534002,3.730088495575221,0.9113737075332349,0.01630434782608696,0.7319098457888493,0.3831967213114754,['DECANTERS & SPECIALTY PACKAGES' 'JAMAICA RUM'],['FLAVORED RUM']
40,"frozenset({'IMPORTED VODKA - MISC', 'MISCELLANEOUS SCHNAPPS'})",frozenset({'DECANTERS & SPECIALTY PACKAGES'}),0.0011061946902654867,0.19358407079646017,0.0011061946902654867,1.0,5.1657142857142855,1.0,0.0008920530190304643,inf,0.8073089700996677,0.005714285714285714,1.0,0.5028571428571429,['IMPORTED VODKA - MISC' 'MISCELLANEOUS SCHNAPPS'],['DECANTERS & SPECIALTY PACKAGES']
41,"frozenset({'DECANTERS & SPECIALTY PACKAGES', 'JAMAICA RUM'})",frozenset({'PUERTO RICO & VIRGIN ISLANDS RUM'}),0.0014749262536873156,0.05530973451327434,0.0011061946902654867,0.75,13.559999999999999,1.0,0.001024616910747383,3.7787610619469025,0.9276218611521418,0.019867549668874173,0.7353629976580797,0.385,['DECANTERS & SPECIALTY PACKAGES' 'JAMAICA RUM'],['PUERTO RICO & VIRGIN ISLANDS RUM']
